,__lock,avg_dl,avg_idle,avg_irq,avg_rt,balance_callback,cfs,cfs_tasks,clock,clock_idle,clock_pelt,clock_pelt_idle,clock_task,clock_update_flags,cpu,cpu_capacity,curr,has_blocked_load,idle,idle_stamp,last_blocked_load_update_tick,last_seen_need_resched_ns,leaf_cfs_rq_list,lost_idle_time,max_idle_balance_cost,next_balance,nohz_tick_stopped,nr_iowait,nr_numa_running,nr_preferred_running,nr_running,nr_switches,pd,prev_mm,push_busy,rd,sched_count,scratch_mask,sd,tmp_alone_branch,ttwu_pending
idle_stamp,10.0,2.0,20.0,2.0,2.0,10.0,52.0,6.0,22.0,0.0,18.0,0.0,10.0,86.0,58.0,0.0,52.0,0.0,6.0,0.0,2.0,0.0,12.0,14.0,6.0,0.0,0.0,0.0,4.0,10.0,32.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,4.0,6.0,10.0
last_blocked_load_update_tick,2.0,2.0,2.0,2.0,2.0,2.0,12.0,0.0,10.0,0.0,6.0,0.0,4.0,16.0,16.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0
last_seen_need_resched_ns,2.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,10.0,2.0,8.0,2.0,6.0,30.0,16.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
leaf_cfs_rq_list,4.0,2.0,14.0,6.0,2.0,4.0,78.0,16.0,4.0,0.0,38.0,0.0,12.0,80.0,60.0,2.0,56.0,2.0,8.0,12.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,12.0,22.0,44.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,6.0
lost_idle_time,14.0,10.0,18.0,16.0,10.0,14.0,168.0,20.0,52.0,4.0,90.0,4.0,54.0,220.0,146.0,4.0,90.0,4.0,12.0,14.0,4.0,4.0,32.0,0.0,2.0,2.0,0.0,4.0,28.0,38.0,86.0,4.0,0.0,8.0,4.0,8.0,8.0,0.0,8.0,10.0,14.0
max_idle_balance_cost,2.0,0.0,6.0,0.0,0.0,2.0,8.0,2.0,2.0,0.0,2.0,0.0,0.0,16.0,10.0,0.0,14.0,0.0,2.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
next_balance,0.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,4.0,2.0,2.0,12.0,6.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
nohz_tick_stopped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
nr_iowait,2.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,12.0,4.0,8.0,4.0,6.0,26.0,10.0,0.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
nr_numa_running,4.0,8.0,30.0,20.0,8.0,4.0,2490.0,4.0,16.0,0.0,34.0,0.0,14.0,70.0,792.0,62.0,580.0,6.0,562.0,4.0,2.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,752.0,1068.0,0.0,22.0,0.0,0.0,24.0,2.0,0.0,4.0,2.0,278.0
nr_preferred_running,6.0,8.0,36.0,20.0,8.0,6.0,2512.0,10.0,18.0,0.0,46.0,0.0,18.0,100.0,812.0,62.0,602.0,6.0,564.0,10.0,2.0,0.0,22.0,38.0,2.0,0.0,0.0,0.0,752.0,0.0,1080.0,0.0,22.0,0.0,0.0,26.0,4.0,0.0,4.0,6.0,282.0
nr_running,22.0,16.0,66.0,30.0,16.0,22.0,3606.0,24.0,70.0,2.0,112.0,2.0,58.0,294.0,1236.0,102.0,912.0,8.0,798.0,32.0,6.0,4.0,44.0,86.0,6.0,2.0,0.0,2.0,1068.0,1080.0,0.0,4.0,30.0,8.0,0.0,46.0,16.0,0.0,14.0,14.0,460.0
