,__lock,avg_dl,avg_idle,avg_irq,avg_rt,balance_callback,cfs,cfs_tasks,clock,clock_idle,clock_pelt,clock_pelt_idle,clock_task,clock_update_flags,cpu,cpu_capacity,curr,has_blocked_load,idle,idle_stamp,last_blocked_load_update_tick,last_seen_need_resched_ns,leaf_cfs_rq_list,lost_idle_time,max_idle_balance_cost,next_balance,nohz_tick_stopped,nr_iowait,nr_numa_running,nr_preferred_running,nr_running,nr_switches,pd,prev_mm,push_busy,rd,sched_count,scratch_mask,sd,tmp_alone_branch,ttwu_pending
leaf_cfs_rq_list,0.0,1.0,4.0,1.0,1.0,0.0,9.0,6.0,3.0,1.0,11.0,1.0,5.0,18.0,13.0,0.0,13.0,1.0,2.0,3.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,5.0,10.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0
lost_idle_time,6.0,5.0,3.0,6.0,5.0,7.0,32.0,7.0,19.0,3.0,25.0,3.0,18.0,43.0,42.0,0.0,34.0,1.0,4.0,2.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,9.0,7.0,12.0,24.0,2.0,0.0,4.0,1.0,3.0,3.0,1.0,1.0,4.0,6.0
max_idle_balance_cost,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
next_balance,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
nohz_tick_stopped,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,7.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
nr_iowait,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,2.0,1.0,2.0,16.0,11.0,0.0,11.0,2.0,9.0,0.0,0.0,10.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
nr_numa_running,0.0,0.0,68.0,0.0,0.0,2.0,298.0,1.0,4.0,0.0,7.0,0.0,5.0,14.0,145.0,22.0,122.0,3.0,115.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,135.0,168.0,0.0,64.0,0.0,0.0,49.0,0.0,1.0,1.0,0.0,92.0
nr_preferred_running,0.0,0.0,68.0,0.0,0.0,0.0,300.0,4.0,6.0,1.0,12.0,1.0,9.0,23.0,153.0,22.0,129.0,3.0,115.0,4.0,0.0,0.0,5.0,12.0,1.0,0.0,0.0,0.0,135.0,0.0,171.0,0.0,64.0,0.0,0.0,51.0,0.0,0.0,1.0,2.0,92.0
nr_running,7.0,1.0,103.0,2.0,0.0,6.0,347.0,6.0,20.0,1.0,27.0,2.0,23.0,59.0,197.0,33.0,173.0,5.0,147.0,7.0,0.0,2.0,10.0,24.0,3.0,1.0,1.0,9.0,168.0,171.0,0.0,2.0,90.0,3.0,2.0,69.0,5.0,1.0,2.0,2.0,122.0
nr_switches,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,3.0,1.0,2.0,12.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
pd,0.0,0.0,2.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,7.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0
prev_mm,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,5.0,0.0,4.0,12.0,7.0,0.0,6.0,1.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,10.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
push_busy,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
rd,2.0,1.0,10.0,0.0,1.0,2.0,159.0,2.0,8.0,1.0,5.0,0.0,3.0,17.0,59.0,2.0,50.0,0.0,40.0,5.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,49.0,51.0,69.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,21.0
sched_count,3.0,0.0,1.0,0.0,0.0,3.0,7.0,2.0,6.0,0.0,6.0,0.0,7.0,23.0,6.0,0.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
scratch_mask,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sd,2.0,1.0,3.0,0.0,1.0,2.0,3.0,0.0,7.0,0.0,3.0,0.0,4.0,12.0,7.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
tmp_alone_branch,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,0.0,2.0,10.0,3.0,0.0,9.0,0.0,2.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
ttwu_pending,3.0,0.0,30.0,1.0,1.0,3.0,251.0,2.0,7.0,0.0,7.0,0.0,5.0,25.0,99.0,16.0,84.0,1.0,78.0,3.0,1.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,92.0,92.0,122.0,0.0,26.0,0.0,2.0,21.0,2.0,0.0,2.0,1.0,0.0
